,coef,odds_ratio,pvalue,pr_sq,N,major_city,state,isp,model,intercept,probability_treatment,probability_exposure,odds_directional,is_coef_positive,probability_delta,perc_probability
"C(race_quantile, Treatment('most white'))[T.more white]",0.4498902962254564,1.5681401451606671,1.8725665996951372e-09,0.01933065642583942,8245,Nashville,TN,EarthLink,race_quantile_minus_ppl_per_sq_mile_standard,-2.0291493975701864,0.11617623283386296,0.17090043693348445,1.5681401451606671,True,0.05472420409962149,1.471044746113256
"C(race_quantile, Treatment('most white'))[T.less white]",0.3876218725760114,1.4734725185682915,5.222294775121757e-07,0.01933065642583942,8245,Nashville,TN,EarthLink,race_quantile_minus_ppl_per_sq_mile_standard,-2.0291493975701864,0.11617623283386296,0.16225731915259986,1.4734725185682915,True,0.046081086318736905,1.396648137012971
"C(race_quantile, Treatment('most white'))[T.least white]",0.12573030065114227,1.1339762943696698,0.2150531472437729,0.01933065642583942,8245,Nashville,TN,EarthLink,race_quantile_minus_ppl_per_sq_mile_standard,-2.0291493975701864,0.11617623283386296,0.12972198924954798,1.1339762943696698,True,0.01354575641568502,1.1165966229517532
n_providers,0.43447433439674,1.5441511384309814,2.3439914661625668e-12,0.01933065642583942,8245,Nashville,TN,EarthLink,race_quantile_minus_ppl_per_sq_mile_standard,-2.0291493975701864,0.11617623283386296,0.16872716458178524,1.5441511384309814,True,0.05255093174792229,1.4523380597395716
internet_perc_broadband,0.21956863576744137,1.2455393335700409,4.137414808536812e-09,0.01933065642583942,8245,Nashville,TN,EarthLink,race_quantile_minus_ppl_per_sq_mile_standard,-2.0291493975701864,0.11617623283386296,0.14068880209564774,1.2455393335700409,True,0.024512569261784786,1.2109946988627083
"C(race_quantile, Treatment('most white'))[T.more white]",0.34953484573788807,1.4184076167717532,3.7500174898533267e-06,0.034368047966445325,8245,Nashville,TN,EarthLink,race_quantile_minus_n_providers ,-1.429144796001935,0.19323196989587554,0.2535798370502336,1.4184076167717532,True,0.06034786715435808,1.3123078814901952
"C(race_quantile, Treatment('most white'))[T.less white]",0.35107532876287467,1.4205943334954592,5.654115145467012e-06,0.034368047966445325,8245,Nashville,TN,EarthLink,race_quantile_minus_n_providers ,-1.429144796001935,0.19323196989587554,0.2538715258840439,1.4205943334954592,True,0.06063955598816834,1.3138174082727843
"C(race_quantile, Treatment('most white'))[T.least white]",-0.13743358297159797,0.8715922366411432,0.1915213052245759,0.034368047966445325,8245,Nashville,TN,EarthLink,race_quantile_minus_n_providers ,-1.429144796001935,0.19323196989587554,0.17270471806966378,-0.8715922366411432,False,-0.020527251826211762,0.8937688632099905
ppl_per_sq_mile_standard,0.35459570267830665,1.4256041698061204,2.6016293463952434e-39,0.034368047966445325,8245,Nashville,TN,EarthLink,race_quantile_minus_n_providers ,-1.429144796001935,0.19323196989587554,0.2545389354339348,1.4256041698061204,True,0.061306965538059255,1.3172713375074268
internet_perc_broadband,0.2405669603693783,1.271970102565606,2.7442306385893436e-10,0.034368047966445325,8245,Nashville,TN,EarthLink,race_quantile_minus_n_providers ,-1.429144796001935,0.19323196989587554,0.23351338521988146,1.271970102565606,True,0.04028141532400592,1.208461443236913
